pudding  sweet
metronome_marking  tempo
doorframe  framework
theologizer  student
publishing  commercial_enterprise
mother-in-law  mother
nonparticulate_radiation  radiation
engine_cooling_system  equipment
toothwort  bittercress
osteostracan  jawless_vertebrate
radius  length
bundle_off  send_off
demist  modify
prostate_gland  endocrine_gland
thermonuclear_warhead  warhead
fuel_system  equipment
plectrum  device
zygomatic_bone  os
peppercorn  seasoning
laying_claim  acquisition
invagination  organic_process
pedilanthus  rosid_dicot_genus
tolinase  sulfonylurea
bessemer_converter  convertor
papal_nuncio  diplomatist
compassionateness  sympathy
adenoma  nonmalignant_tumour
strigiformes  animal_order
daylily  liliaceous_plant
gibson_girl  young_woman
planning  designing
sang  herbaceous_plant
saxifraga  rosid_dicot_genus
inoculum  substance
peninsula  terra_firma
hold-down  restriction
ruby  redness
sarcocephalus_latifolius  shrub
mastoidal  process
amerce  ticket
lophosoriaceae  fern_family
family_calostomataceae  fungus_family
lucubrate  elucidate
perilla  asterid_dicot_genus
wood_ant  pismire
beekeeping  cultivation
possessor  soul
assyrian_neo-aramaic  aramaic
kyphosidae  fish_family
diadem  jewelled_headdress
first_moment  mean_value
horse_race  race
oscar  laurels
miracle  event
scutigeridae  arthropod_family
genus_phlomis  asterid_dicot_genus
symplocarpus_foetidus  swamp_plant
nativity  modification
ardent_spirits  strong_drink
the_likes_of  variety
retirement  termination
coragyps_atratus  new_world_vulture
genus_corchorus  dilleniid_dicot_genus
castanea_dentata  chestnut_tree
fly_blind  pilot
teazel  herbaceous_plant
reuse  utilize
lactobacillus  true_bacteria
rhabdoviridae  arbovirus
summarization  report
aquatic_vertebrate  vertebrate
kangaroo_paw  herbaceous_plant
fructification  ontogeny
obscurantist  trickster
customer  consumer
soliloquize  talk
rat_kangaroo  kangaroo
whipper  oppressor
genus_brassia  monocot_genus
ozark_chinquapin  chestnut_tree
optical_phenomenon  physical_phenomenon
caddoan_language  indian
genus_burmeisteria  mammal_genus
sick  people
parturition  organic_process
icterus_galbula_galbula  northern_oriole
blackmail  extort
ostentation  display
lactarius  fungus_genus
reef  strip
timorousness  fright
juglans_nigra  walnut_tree
pagophilus_groenlandicus  true_seal
lycium  asterid_dicot_genus
small_boat  boat
grunter  soul
affiant  soul
traveller  soul
zr  metallic_element
adjournment  postponement
blocking  obstruction
reclining  movement
slugfest  scrap
spillover  upshot
red_guard  political_movement
sergeant_fish  percoidean
whimper  weep
ailanthus  flowering_tree
tupaiidae  mammal_family
sparling  smelt
stoneface  succulent
icing_the_puck  play
partitionist  proponent
genus_dendroctonus  arthropod_genus
hull  structure
ideograph  graphic_symbol
get_well  meliorate
brits  nation
muster_roll  roster
shore_up  sustain
family_diapensiaceae  dilleniid_dicot_family
relocation  change
clouding_up  vapour
usualness  everydayness
bedfellow  soul
camphor  natural_resin
quamassia  liliid_monocot_genus
scoop_shovel  shovel
annual  plant_life
collaboration  cooperation
terrietia_trifoliolata  flowering_tree
marmalade_box  genipa
doorbell  push_button
naval_commander  naval_officer
long_suit  collection
take_account  understand
final_cause  purpose
atrium_of_the_heart  atrium
belly  swelling
romneya  dilleniid_dicot_genus
paternity_suit  suit
ward-heeler  politico
lawyer  professional_person
school_principal  pedagogue
sepsis  infection
boot_camp  encampment
cruciferous_vegetable  veggie
genus_elymus  monocot_genus
enfranchisement  empowerment
rhinopathy  pathology
activator  substance
forbidding  prohibition
bluepoint  oyster
genus_staphylococcus  bacteria_genus
surmullet  mullet
pipefish  teleostan
hypothalamus  neural_structure
surfer  swimmer
liturgist  authority
genus_cystopteris  fern_genus
country_house  house
twenty-four_hours  unit_of_time
medulla_oblongata  neural_structure
kakatoe  bird_genus
hollyhock  mallow
amphibole  mineral
ambition  want
versifier  writer
spondylitis  rubor
teth  letter_of_the_alphabet
dawn  time_period
change_of_shape  change
escarole  salad_greens
gelechiid_moth  moth
embower  shut_in
domestic_prelate  priest
kazakhstani  asiatic
poker_hand  hand
gymnopilus  fungus_genus
written_text  written_language
pennisetum_glaucum  cereal_grass
superorder_acanthopterygii  animal_order
microtus  mammal_genus
november_1  holy_day_of_obligation
supervisory_routine  subroutine
ocean_current  stream
mandibular_notch  incisure
v  figure
heteroscelus  bird_genus
duplication  copy
sunshine-roof  roof
petrogale  mammal_genus
sinew  strength
true_vocal_fold  vocal_fold
vicugna  mammal_genus
indian_banyan  fig_tree
pistacia_vera  nut_tree
reaching  achievement
chap  scissure
irrigation  medical_care
nullify  weaken
shareware  software_system
bear_down_upon  near
snailfish  scorpaenoid_fish
tussilago  asterid_dicot_genus
pawl  stop
tobacco_moth  pyralid_moth
water_ox  old_world_buffalo
abidance  continuation
oxylebius  fish_genus
genus_echeneis  fish_genus
repoint  touch_on
pholadidae  mollusk_family
order_mecoptera  animal_order
tubbiness  roundness
checkerboard  gameboard
instance  lucubrate
wisdom_literature  sacred_writing
unwellness  unhealthiness
family_anguillidae  fish_family
gruidae  bird_family
grovel  flex
rosemaling  ornamentation
incense_tree  tree
common_meter  metre
hostile  troops
mezzo-rilievo  sculptural_relief
unguiculate_mammal  placental_mammal
palatableness  taste_property
bastnasite  mineral
microcircuit  computer_circuit
pitched_battle  fight
lycaenid_butterfly  butterfly
plectomycetes  class
damp  moderate
resumption  start
suppurate  release
surveying  mensuration
myrtle_warbler  wood_warbler
seats  way
scamp  youngster
spider_web  web
whiten  discolour
residue  matter
ultraconservative  conservativist
tizzy  agitation
shipping_room  room
reduction_division  cellular_division
ischemia  anemia
family_anomalopidae  fish_family
genus_physostegia  asterid_dicot_genus
wild_fig  fig_tree
impenitency  stubbornness
ease  travel
pagophilus  mammal_genus
spiritualization  change_of_state
veterinary_surgeon  physician
fair_catch  snatch
spergularia  caryophylloid_dicot_genus
descriptive_linguistics  linguistics
stenotomus_aculeatus  porgy
boeuf  meat
psilotales  plant_order
tanacetum_coccineum  flower
chess_move  move
incise  cut
pezizales  fungus_order
furnishing  instrumentation
glareola  bird_genus
pushing  propulsion
codpiece  flap
skiffle_group  ensemble
looseness_of_the_bowels  symptom
tambocor  antiarrhythmic_medication
regret  inform
insured_person  soul
large_person  soul
lipfern  fern
reich  state
xerox_machine  duplicator
judicial_decision  due_process_of_law
off-roader  wheel
tellurium  element
clock  timepiece
sea_pea  wild_pea
second_estate  the_three_estates
heliamphora  magnoliopsid_genus
behaviouristic_psychology  psychonomics
laburnum  rosid_dicot_genus
interactive_multimedia_system  multimedia_system
topicalize  stress
auk  seafowl
petty_larceny  thieving
family_cichlidae  fish_family
impel  make
wood_mint  herbaceous_plant
hellion  troubler
order_cetacea  animal_order
family_armadillidiidae  arthropod_family
nonsensicality  substance
shaggymane_mushroom  agaric
woad  herbaceous_plant
megalithic_structure  monument
insect  arthropod
cargo_vessel  ship
patellidae  mollusk_family
schoolroom  room
landscapist  designer
laterality  imbalance
protocol  rule
howler  pratfall
st_john's_wort_family  dilleniid_dicot_family
peculate  steal
public_presentation  show
subtitle  version
secret_agent  agent
hazelnut_tree  nut_tree
jump_ball  start
subscript  graphic_symbol
bureau_of_alcohol_tobacco_and_firearms  law_enforcement_agency
introspectiveness  thoughtfulness
tendergreen  cruciferous_plant
taxiway  paved_surface
water_mill  milling_machinery
circle  travel
spraguea  caryophylloid_dicot_genus
surgeon  physician
sarcosomataceae  ascomycetous_fungus
ionosphere  region
ravage  wipeout
vip  personage
wind_scale  scale_of_measurement
family_entomophthoraceae  fungus_family
genus_culcita  fern_genus
oceanic_bonito  scombroid_fish
zoarcidae  fish_family
garb  wearable
new_greek  hellenic_language
eblis  jinni
vespid_wasp  wasp
sledgehammer  hammer
russian_monetary_unit  monetary_unit
eumycota  division
genus_cordyline  liliid_monocot_genus
fastener  soul
self-mortification  punishment
genus_centrocercus  bird_genus
exaltation  worship
liliid_monocot_genus  monocot_genus
bridge_deck  upper_deck
reprimand  pick_apart
quitter  soul
nucleoplasm  protoplasm
western_diamondback_rattlesnake  rattlesnake
venue  scene
genus_argonauta  mollusk_genus
wilt_disease  plant_disease
calm_air  wind
muster_in  recruit
crypt  sepulture
sapindus_saponaria  soapberry_tree
genus_fossa  mammal_genus
half_mile  linear_unit
rh  internal_secretion
genus_agrostemma  caryophylloid_dicot_genus
may_bug  scarabaeid_beetle
rarefy  weaken
sissu  tree
genus_danaus  arthropod_genus
hawkshaw  tec
gallus_gallus  poultry
macropus  mammal_genus
family_bombycillidae  bird_family
barge  transport
scolytidae  arthropod_family
breathing_time  rest_period
nerves  willpower
vascular_tissue  plant_tissue
ambusher  attacker
nirvana  blessedness
faddist  soul
family_elephantidae  mammal_family
lucky_dip  lottery
holocentridae  fish_family
spiritize  riddle
bowdlerization  expurgation
viscidness  viscousness
armoured_personnel_carrier  armoured_vehicle
sailfish  scombroid_fish
torpor  physiological_state
stercorarius  bird_genus
typographical_error  mistake
fax  duplicator
yacht_club  society
order_edentata  animal_order
iodinate  modify
temple_orange  orange
pimento_tree  spice_tree
pock  pustule
thymus  asterid_dicot_genus
seduction  success
trinity  maker
mesquite  shrub
rumen  tummy
genus_catasetum  monocot_genus
genus_erythroxylum  plant_genus
umbelliferous_plant  herbaceous_plant
washbowl  basin
skillet  pan
gradual  antiphony
orb-weaver  arthropod_family
garnishee  sequester
wordiness  verbosity
qualification  fittingness
phasmidae  arthropod_family
pore_mushroom  basidiomycetous_fungi
bengali  asiatic
patriotism  trueness
saxifraga_hypnoides  saxifrage
poor_rates  rates
spice_up  modify
parisian  frenchwoman
eel  soft-finned_fish
dinosaur  archosaurian_reptile
glade  tract
measuring_system  instrument
souring  spoiling
memorization  learning
polyborus  bird_genus
plasma_protein  protein
closed-circuit_television  television_system
epidendrum_tampense  orchidaceous_plant
abbreviation  word_form
genus_lecanora  fungus_genus
cricketer  jock
shammy_leather  leather
decimalization  change
schnittlaugh  alliaceous_plant
genus_diodon  fish_genus
banana_tree  herbaceous_plant
genus_coptis  magnoliid_dicot_genus
punting  kicking
vetch  leguminous_plant
shuffler  walker
pristis  fish_genus
muff  pratfall
pseudomonas  bacteria_genus
genus_draba  dilleniid_dicot_genus
munch  masticate
organic_law  law
lead_off  vitiate
minge  female_genitals
ziziphus_jujuba  shrub
clumsy_person  soul
stromateidae  fish_family
vacation_spot  country
genus_fasciola  worm_genus
rag_day  day
styptic_weed  senna
refuse_collector  haulier
founding_father  originator
weariness  temporary_state
sigeh  wedlock
computer_architecture  structure
longways_dance  country_dancing
foreshore  geological_formation
wmd  weapon_system
watercourse  water
rhinolaryngologist  specialist
tilth  soil
change_posture  change
gitana  rommany
pseudoryx  mammal_genus
patrician  leader
shootout  scrap
wiper_arm  tangency
chapter  society
genus_bursera  rosid_dicot_genus
rack_up  set
hassid  orthodox_jew
superheterodyne_receiver  wireless
paramour  mistress
genus_lepiota  fungus_genus
prenatal_diagnosis  diagnostic_technique
liquefaction  state_change
sour_cherry_tree  cherry_tree
tanning  body_process
rallidae  bird_family
isthmus  terra_firma
grating  framework
forebear  root
genus_harpullia  magnoliopsid_genus
monazite  mineral
unsusceptibility  status
wreak  make
cholecystectomy  extirpation
order_dinoflagellata  animal_order
commodity_exchange  exchange
ptarmigan  grouse
rowing_boat  rowboat
brass_hat  officer
round_kumquat  kumquat_tree
unionism  trade_union_movement
dogwood_tree  flowering_tree
family_chrysopidae  arthropod_family
computer_backup  duplication
blueprint  picture
facial_gesture  motion
overcompensation  compensation
zimmer_frame  framework
genus_blandfordia  liliid_monocot_genus
title_role  theatrical_role
passionflower_vine  vine
piss-up  tear
make_clean  modify
man-eater  savage
mantra  sacred_writing
phylum_coelenterata  phylum
petroselinum  rosid_dicot_genus
forced_landing  unbecomingly
ship's_officer  tar
step-up  change_of_magnitude
wallpaper  cover
memory_chip  silicon_chip
nationalize  modify
steppe  plain
flowering_shrub  shrub
cocos_nucifera  palm_tree
indian_lettuce  herbaceous_plant
flying_lizard  agamid_lizard
powerlessness  quality
genus_decapterus  fish_genus
genus_fistulina  fungus_genus
stucco  ornament
church  religion
paxto  iranian_language
blackball  riddance
snip_off  cut
pamphleteer  writer
oxalis_pes-caprae  wood_sorrel
genus_sedum  plant_genus
personal_organizer  electronic_device
topminnow  cypriniform_fish
water_gate  regulator
ochnaceae  dilleniid_dicot_family
sportswear  garb
bushwhacker  confederate_soldier
driftage  divergence
icelandic  scandinavian_language
banksia  shrub
short  tract
give_away  turn_in
undergo  change
irridentist  proponent
pterodactylidae  reptile_family
genus_baccharis  asterid_dicot_genus
tenderization  improvement
genus_antilocapra  mammal_genus
final_cut  picture_show
musjid  place_of_worship
tin_foil  foil
plimsoll_mark  waterline
pluteaceae  fungus_family
revivification  improvement
immunization  protection
magistrate  justice
lithophragma  rosid_dicot_genus
disbud  trim
new_dealer  supporter
sloganeer  propagandist
phylum_mollusca  phylum
insure  protect
signaling  communication
bureau_of_engraving_and_printing  office
scandalmonger  rumourmonger
seriphus  fish_genus
family_cicadidae  arthropod_family
burthen  loading
physiological_state  status
jay  corvine_bird
menziesia_ferruginea  shrub
saturnism  unwellness
piperine  chemical_irritant
western_wood_pewee  wood_pewee
virilization  ontogeny
family_batrachoididae  fish_family
relay_transmitter  amplifier
rotator_cuff  structure
riser  soul
semi-detached_house  home
papilionaceae  rosid_dicot_family
prosthodontics  odontology
bathe  cleanse
archive  repository
hemigalus  mammal_genus
fha  office
theophylline  bronchodilator
chirp  sound
humbug  lead_on
african_nation  state
minniebush  shrub
genus_dactyloctenium  monocot_genus
kosher  victuals
webworm  caterpillar
stet  void
isomorphy  similarity
prionotus  fish_genus
limpet  seasnail
diameter  length
usurper  wrongdoer
palatine_bone  os
genus_eumeces  reptile_genus
cranial_nerve  nervus
weapons_system  instrumentation
re-creation  creative_activity
pasqueflower  wildflower
vine_cactus  candlewood
roster  listing
retaliator  attacker
corn_whisky  whisky
officialdom  organization
catbird  oscine_bird
lexical_meaning  signification
week  time_period
lexicology  philology
shank  body_part
lurch  movement
interposition  interruption
cinnabar  mineral
sardina  fish_genus
cancer_drug  cytotoxic_drug
preordination  theological_doctrine
roll_out  flatten
noesis  psychological_feature
bloodleaf  suffrutex
family_balaenopteridae  mammal_family
family_cathartidae  bird_family
helianthemum_canadense  sunrose
beryl  mineral
halter  string_up
stiffening  natural_process
horrify  scare
dot  telegraphic_signal
hydnocarpus_wightiana  tree
notational_system  writing
remake  produce
discolor  modify
zea  monocot_genus
witch_doctor  wizard
touch_sensation  perception
jellyfish  coelenterate
wet-nurse  give
eutamius_sibiricus  squirrel
furnariidae  bird_family
waster  bad_person
genus_arctotis  asterid_dicot_genus
mathematical_relation  relation
derision  disrespect
greenness  immaturity
cosmic_radiation  radiation
benzyl_radical  radical
family_bucerotidae  bird_family
genus  taxonomic_group
viscum  dilleniid_dicot_genus
motor_nerve  nervus
gopher  sharpy
aqueous_humour  liquid_body_substance
jewish_calendar_month  month
valley  natural_depression
cohabitation  inhabitation
zettabyte  computer_memory_unit
understate  inform
intumescency  swelling
wetland  soil
sepia  mollusk_genus
yatobyo  zoonotic_disease
rubiaceous_plant  flowering_plant
tapping  sound
stomach_flu  inflammatory_disease
resident  inhabitant
gestation  mental_synthesis
upper_cannon  cannon
melampsoraceae  fungus_family
venetian_red  brownness
ophthalmology  medicine
myxomycetes  class
tastebud  chemoreceptor
encode  convert
micronor  pill
kettle  pot
talent_scout  recruiter
order_coccidia  animal_order
proportional_font  typeface
spizella  bird_genus
genus_fragaria  rosid_dicot_genus
doei  office
narcotic_antagonist  antagonist
helodermatidae  reptile_family
solanum_wrightii  shrub
continent  landmass
self-seeking  selfishness
temporal_relation  relation
tumbleweed  shrub
ratting  revelation
synopsis  summary
orchid_tree  flowering_tree
thiazide  water_pill
cayenne_pepper  chilly
exenterate  withdraw
clarinettist  player
strewing  spreading
inebriation  white_plague
hydrophidae  reptile_family
family_anthocerotaceae  moss_family
visual  wheeled_vehicle
family_apidae  arthropod_family
haliotis  mollusk_genus
synagrops  fish_genus
hierarchy  series
anise_cookie  cooky
liability  obligation
plagioclase  felspar
oftenness  rate
liliaceous_plant  bulbous_plant
reconstructive_surgery  surgical_process
lophodytes_cucullatus  sheldrake
ironing  garment
crochet  create_from_raw_stuff
fouquieriaceae  dilleniid_dicot_family
mechanize  modify
oxidization  reaction
cocktail  mixed_drink
trepan  drill
one_dollar_bill  note
soilure  change_of_state
portable_computer  personal_computer
limping  disability_of_walking
precognition  second_sight
sully  charge
home_help  house_servant
silver_ash  tree
juncture  link
squad_car  motorcar
work_on  transubstantiate
phylum_nemertina  phylum
giraffa  mammal_genus
adjective  qualifier
ptsd  anxiety_disorder
innocent  soul
syringe  medical_instrument
nga  office
downsize  trim_down
billet  lodging
genus_buddleia  magnoliopsid_genus
genus_belamcanda  liliid_monocot_genus
white_lotus  water_lily
lallation  gibberish
po  noncommissioned_officer
character_set  listing
nsaid  anti-inflammatory_drug
hyaenidae  mammal_family
genus_orchis  monocot_genus
woodland_star  flower
explosive_charge  explosive
freedom  state
tuxedo  formalwear
grate  supply
rope_off  shut_in
palpebra  protective_fold
digital_communication  electronic_communication
stove  kitchen_appliance
family_diaspididae  arthropod_family
tree_squirrel  squirrel
devolution  process
coverall  protective_garment
air_medal  ribbon
reclusiveness  solitariness
genus_woodsia  fern_genus
neurogenesis  ontogeny
redheader  soul
war_crime  offense
legal_ouster  due_process_of_law
vena_metacarpus  venous_blood_vessel
derring-do  per_se
mix_up  tack_together
stylization  standardization
serjeant-at-arms  officer
mockingbird  oscine_bird
take_home  take_in
tragopogon_pratensis  wildflower
explosive_device  device
pollen  spore
youth-on-age  herbaceous_plant
evacuation  withdrawal
eventuate  turn_out
genus_gentianella  magnoliopsid_genus
sacrilege  violation
slip_one's_mind  forget
aminoalkane  paraffin_series
blocking_agent  medicine
striving  try
adjustment  organic_process
pfannkuchen  pancake
hospitalize  send
firing_off  shot
forestall  move
snap_willow  willow_tree
falsifier  trickster
persian_walnut  walnut_tree
trh  internal_secretion
nanus  small_person
stripteaser  performing_artist
slick_down  disentangle
peal  ring
glorification  idolization
wolframite  mineral
rhododendron  shrub
song_and_dance  tarradiddle
pelagic_bird  seafowl
hydrazine  reductant
winged_elm  elm_tree
predomination  patency
consummate  fulfill
genus_eudyptes  bird_genus
explosive  chemical_substance
gregorian_calendar_month  month
rifle  small-arm
pelecanus  bird_genus
genus_apios  rosid_dicot_genus
paprilus_alepidotus  stromateid_fish
tavern  edifice
bottlenose_dolphin  dolphin
board_foot  volume_unit
privates  sex_organ
genus_castanea  hamamelid_dicot_genus
scleroprotein  simple_protein
personal_manner  deportment
epoch  geological_time
angelique  herbaceous_plant
overwhelm  saddle
genus_ajaia  bird_genus
watt  power_unit
superego  sense_of_right_and_wrong
minefield  tract
rock_outcrop  stone
microwave  nonparticulate_radiation
confederate_soldier  confederate
therapeutic_cloning  somatic_cell_nuclear_transplantation
neofiber  mammal_genus
ecoterrorism  terrorist_act
gastric_juice  digestive_juice
compost_pile  pile
normalize  change
sequoia  cypress
ram's-head_lady's_slipper  slipper_orchid
versify  write
ursus_arctos  bear
genus_scorzonera  asterid_dicot_genus
automobile_industry  industry
taps  bugle_call
gliding_joint  synovial_joint
tree_toad  toad_frog
viva_voce  test
medical_intern  physician
ulmus  magnoliopsid_genus
americana  artifact
bail_out  unloosen
nondepository_financial_institution  financial_organization
passerine  bird
public_works  structure
mya  mollusk_genus
amateur  soul
trade_union_movement  reform_movement
keftab  mefoxin
genus_fomes  fungus_genus
canebrake  thicket
genus_dracocephalum  asterid_dicot_genus
swanneck  orchidaceous_plant
coercion  enforcement
brownshirt  nazi
family_embiotocidae  fish_family
wanderer  traveller
loxitane  neuroleptic_drug
minimus  digit
myrtillocactus  caryophylloid_dicot_genus
fregatidae  bird_family
pastureland  grassland
revolving_credit  consumer_credit
sexual_climax  consummation
hygrophoraceae  fungus_family
townsman  resident
stick-in-the-mud  trailer
protectorship  spot
distinguished_conduct_medal  ribbon
glis  mammal_genus
dilleniid_dicot_family  magnoliopsid_family
pleasure_seeker  sensualist
windsor  dynasty
vacillation  movement
demineralize  withdraw
forgive  yield
genus_aporocactus  caryophylloid_dicot_genus
needleworker  shaper
water_lettuce  water_plant
reminisce  think_back
oak_leaf_cluster  ribbon
genus_capreolus  mammal_genus
vicar-general  lieutenant
pineal_gland  endocrine_gland
infiltration  penetration
louse_fly  two-winged_insects
assessment  sorting
wheelwork  mechanical_device
family_ambystomatidae  amphibian_family
quartering  lodging
dote  senesce
family_dennstaedtiaceae  fern_family
plagiarizer  thief
consumerism  movement
soft-finned_fish  teleostan
genus_durio  dilleniid_dicot_genus
germ  structure
truelove  lover
tailwort  herbaceous_plant
census_bureau  office
heat_ray  shaft_of_light
sea_bream  percoidean
outshine  surpass
prophet  religious_person
gather  seek
spirodela  monocot_genus
anticholinergic_drug  medicine
selachian  chondrichthian
bird_family  family
crowd_together  meet
mint_candy  confect
textile  artifact
jounce  travel
freshener  thing
shirodkar's_operation  surgical_process
rhizopodan  protozoon
bureaucratism  officialdom
undercover_agent  secret_agent
toxicodendron  magnoliopsid_genus
scarlet_runner_bean  pole_bean
bureau_of_justice_statistics  office
aura  quality
thunbergia  asterid_dicot_genus
fort  station
viminaria  rosid_dicot_genus
complexness  quality
smithy  workplace
strelitzia  monocot_genus
prioress  superior
sagebrush  suffrutex
sabotage  devastation
himantoglossum  monocot_genus
confer  present
slopseller  trader
sprout  leafy_vegetable
family_acipenseridae  fish_family
genus_callitris  gymnosperm_genus
order_pleuronectiformes  animal_order
bollard  post
deaccession  sell
tilling  cultivation
vermifuge  medicine
rubeola  contagious_disease
swordsman  scrapper
scolopacidae  bird_family
re-create  make
communicable_disease  disease
overtop  lie
film_director  movie_maker
heterokontae  class
midfield  middle
clustering  agglomeration
self-interest  trait
group_discussion  word
rusticate  shack
primary_care_provider  professional_person
gymnosperm_family  plant_family
serve_up  supply
listera  monocot_genus
genus_acalypha  rosid_dicot_genus
rocket_engine  jet_engine
thermobia  arthropod_genus
embracing  hold
lithocarpus  hamamelid_dicot_genus
hin  volume_unit
caddis_fly  trichopterous_insect
rank_and_file  personnel
fermi  metric_linear_unit
hazard  obstacle
plow  tool
armoured_vehicle  self-propelled_vehicle
shedding  organic_phenomenon
psetta  fish_genus
white_bread  staff_of_life
unicameral_script  typeface
stopple  stop_up
swim  travel
tooth_doctor  medical_practitioner
alter  modify
mental_image  representation
repentance  self-reproach
thylacinus_cynocephalus  dasyurid_marsupial
shiatsu  treatment
genus_malope  dilleniid_dicot_genus
abdominal_cavity  cavum
worsen  modify
parting  leaving
vedic_literature  sacred_writing
vesiculate  modify
assurance  insurance
sag  imprint
tibetan_buddhism  buddhism
screen_background  screen
disoblige  push_aside
functionalism  school_of_thought
entree  right
weald  rural_area
scurrility  vilification
social_gathering  gathering
aperture  hole
upper_bound  edge
nickname  name
life_insurance  insurance
family_atrichornithidae  bird_family
nearside  side
wobbler  thing
craps  game_of_chance
snigger  laugh
genus_liparis  monocot_genus
gerridae  fish_family
taxman  bureaucrat
crow_step  step
rhizoid  strand
agrobiology  scientific_discipline
wild_plum_tree  plum_tree
genus_acipenser  fish_genus
torpedo  armament
genus_coniogramme  fern_genus
polyporus  fungus_genus
theogony  subject_field
order_geraniales  plant_order
hirschsprung's_disease  inherited_disorder
white_admiral  nymphalid_butterfly
memory_cache  buffer_store
genus_dumetella  bird_genus
nerve_centre  neural_structure
combat_casualty  equipment_casualty
internalization  learning
disposal  management
hierarch  personage
monism  school_of_thought
shirtfront  inset
valetudinarianism  unfitness
profanation  degradation
raft_foundation  understructure
major_scale  musical_mode
thrift_institution  depository_financial_institution
compounding  change_of_integrity
padding  artifact
fore-and-aft_sail  sheet
glechoma  asterid_dicot_genus
plaintiff  litigator
fisherman  trained_worker
nude_person  soul
affect  modify
honcho  supervisor
hairlessness  status
exoderm  germ_layer
premise  tell
double_reed  reed_instrument
genus_ariocarpus  caryophylloid_dicot_genus
fitment  piece_of_furniture
useableness  utility
mythologization  restatement
sotho  bantu
coattails_effect  upshot
lepas  arthropod_genus
wayfarer  traveller
nudism  practice
water_ski  ski
whitey  white_person
linksman  player
service_man  repairer
setaria_italica  foxtail_grass
interrogatory  questioning
be_born  turn
trombiculidae  arthropod_family
unchurch  shut_out
commissioned_naval_officer  commissioned_officer
duckweed  water_plant
superorder_malacopterygii  animal_order
territorial_waters  water
repurchase  purchase
swayer  soul
subfamily_mimosoideae  rosid_dicot_family
main_road  route
pridefulness  feeling
organization_for_the_prohibition_of_chemical_weapons  world_organization
balagan  topsy-turvyness
prunus_armeniaca  apricot_tree
religious_mystic  worshipper
genus_brachychiton  dilleniid_dicot_genus
lounge  sit_down
discomycete  ascomycetous_fungus
redcap  mp
victoria_cross  ribbon
pinkeye  rubor
commissioned_military_officer  commissioned_officer
suborder_sauropoda  animal_order
lupus  skin_disorder
disquiet  anxiety
stamen  reproductive_structure
gang-rape  violate
electrical_system  equipment
purple_heart  ribbon
formality  conformity
bearberry  shrub
shawnee_cake  journey_cake
monocot_genus  genus
family_ariidae  fish_family
smallmouthed_black_bass  black_bass
genus_desmograthus  cobble_up
priming  lighter
sanskritic_language  indo-aryan
american_football_game  football_game
paralysis  dysfunction
shunt  conductor
ram_home  stress
entry  written_record
religious_holiday  holiday
genus_coluber  reptile_genus
razor  edge_tool
soldiering  evasion
civil_day  time_period
theater_light  light_source
brine  souse
fencing_sword  sword
maguey  century_plant
united_states_intelligence_community  intelligence_service
mineral  stuff
athenian  hellene
climb  slope
saltwort_family  caryophylloid_dicot_family
decrypt  rewrite
demineralization  chemical_process
solvate  turn
order_gaviiformes  animal_order
lay_eyes_on  see
supernaturalism  belief
disarming  demobilization
corvine_bird  oscine_bird
yellow_spot_fungus  fungus
ligustrum  magnoliopsid_genus
subconscious_mind  psyche
pomatomus  fish_genus
ultracef  mefoxin
typewriter  serial_printer
editor_program  applications_programme
dementia  insanity
manglietia  flowering_tree
order_of_magnitude  magnitude
hemimorphite  mineral
cryptology  scientific_discipline
stiltbird  shorebird
inhuman_treatment  maltreatment
rock_salmon  fish
free_association  thought_process
surgeonfish  percoidean
commercial_activity  enterprise
supremacy  dominance
horology  prowess
nepenthaceae  magnoliopsid_family
genus_denisonia  reptile_genus
fatherhood  spot
tellima_grandiflora  wildflower
ordnance_survey  administrative_unit
saxophonist  player
foremanship  spot
line_of_saturn  wrinkle
famine  tragedy
madam  woman
genus_aster  asterid_dicot_genus
performing_artist  entertainer
primidone  antiepileptic_drug
alchemize  modify
meconopsis  dilleniid_dicot_genus
flaps  surface
mudslinger  knocker
signify  mean
equipment  instrumentation
rubdown  massage
smilax_rotundifolia  vine
electronic_bulletin_board  digital_computer
oryzopsis  monocot_genus
genus_borago  plant_genus
designing  creating_by_mental_acts
telephone_kiosk  stall
fiesta  party
blitzkrieg  onslaught
wandering  travelling
perennate  survive
genus_araujia  magnoliopsid_genus
quadriphonic_system  stereophony
woodfern  fern
woodcock  shorebird
suffice  satisfy
shortfall  insufficiency
syllabus  information
violence  hostility
kvetch  whiner
thrips  thysanopterous_insect
convent  religious_residence
order_graminales  plant_order
hawkweed  herbaceous_plant
upholster  supply
pile_dwelling  home
freewheel  survive
juvenile_body  soma
flash_camera  photographic_camera
weighting  coefficient
genus_genetta  mammal_genus
genus_forestiera  magnoliopsid_genus
phrynosoma  reptile_genus
emanate  come_up
clamber  mount
hieroglyphic  writing_system
genus_arethusa  monocot_genus
penalty_free_throw  basketball_shot
compound_lever  lever
monogamy  wedlock
mechanical_device  mechanism
sternum  os
raffia_taedigera  raffia_ruffia
varsity_letter  laurels
diltiazem  calcium_blocker
atmospheric_state  weather_condition
african  soul
hemipode  wading_bird
poinciana_gilliesii  flowering_shrub
sweeper  cleaning_implement
genus_croton  rosid_dicot_genus
wood_rat  rodent
clanswoman  member
tussilago_alpina  herbaceous_plant
centralization  gathering
unify  modify
musicology  liberal_arts
